Review Date,Author Name,Comment
3/21/24,a*****s,"Quality:✅
Taste:💯

GOOD PRODUCT QUALITY 
GOOD VALUE FOR MONEY 
FAST DELIVERY / SHIPPING
* EXCELLENT SERVICE BY SELLER 
RECOMMENDED TO BUY 💯
THANKS SELLER & COURIER"
2/21/24,izzathazwan97,"Taste:sedaapp
Quality:sangat berkualiti

Rasa sangat sedap untuk orang yang tak makan pedas mcm saya.. untuk ayah yg makan pedas sy tambahkan 5 cili padi.. penghantaran 5 hari untuk sampai ke sabah.."
3/11/24,a*****3,"Taste:food review

This place is great! Atmosphere is chill and cool but the staff is also really friendly. They know what they’re doing and what they’re talking about, and you can tell making the customers happy is their main priority. Food is pretty good, some italian classics and some twists, and for their prices it’s 100% worth it."
2/21/24,farrahlikenemo,"Taste:good
Quality:good

Cepat sampai. Jumaat order, selasa dh smpi. Dah rasa tp isi yg dpt byk sgt serai & rasa halia.. dh rasa mcm mkn dendeng serai. Pedas mmg pedas maybe dh improve kot tp tu la kacau rasa daging sebab serai tu.."
3/4/24,m*****4,"Taste:Kena dengan tekak
Quality:Super sedap

Delivery Sangat pantas, harga berpatutan, rasa kena selera tekak, bungkusan baik, beli untuk semua saudara mara jiran, memang terbaik untuk sahur dan bukak puasa, sangat berpuas hati, saya bukannya reseller, saya beli untuk bagi semua orang rasa, reseller jual harga yahudi tak berkat rezeki terima kasih semua akhir kata heyyy what's up guy"
2/21/24,fazirayusof,"Quality:excellent!
Taste:Superb delicious!!

Alhamdulillah dellivery pantas! rse sedap n lama2 terasa pedas2 manjahhh gituu..cukup rasa! makan dua  org pon ada je lebih lg..nnt nk repeat lg utk bulan puasa pulakkkk😍😍😍"
3/12/24,t*****z,Excellent service by seller fast delivery good value for money good product quality.received well without any damage.price offered are reasonable & competitive compare to other seller.neat packaging to secure the items until its arrive to customer.shipping duration is worth wait.highly recommended
3/9/24,n*****a,"Quality:bagus.
Taste:sedap

Taste wise: sedap. Ada rasa manis kicap sikit. Rasa pedas tu ada tapi hujung2 baru rasa pedas tu so enjoy la makan. 
Texture wise: daging dia lerai2 macam serunding so lagi suka kalau daging ketul2. 
Overall: sedap tapi sedap yang biasa je."
3/7/24,ilianiansori,"Quality:Bagus
Taste:Tak manis & tak pedas

Kalini beli 2 pack sebab nak prepare untuk puasa. Akan beli lagi. Saya suka dendeng ni sebab boleh makan 2 kali. So memang puas hati & kena dengan tekak saya. Kalau nak pedas, korang makan dengan sambal nyet berapi. Packaging memang terbaik. Hopefully next packaging, khairul aming boleh letak zip lock so lagi senang nak buka & tutup."
2/23/24,adebahella,"Taste:Sedap! Taste wise semua cukup rasa manis pedas daging😍 pedas level 1 je for me yang suka pedas tapi tak suka pedas sangat. Menambah nambah kita wak
Quality:Packing wise nicely wrap dengan bubble. All good😬"
